Date,CO2_ppm
1958.0411, -99.99
1958.1260, -99.99
1958.2027, 314.43
1958.2877, 315.16
1958.3699, 314.70
1958.4548, -99.99
1958.5370, 315.20
1958.6219, 316.21
1958.7068, 316.11
1958.7890, -99.99
1958.8740, 315.21
1958.9562, 315.44
1959.0411, 315.52
1959.1260, 315.84
1959.2027, 315.37
1959.2877, 315.41
1959.3699, 315.47
1959.4548, 316.01
1959.5370, 315.87
1959.6219, 316.09
1959.7068, 316.74
1959.7890, 316.34
1959.8740, 316.70
1959.9562, 316.35
1960.0410, 316.37
1960.1257, 316.33
1960.2049, 316.27
1960.2896, 316.70
1960.3716, 317.20
1960.4563, 317.46
1960.5383, 317.53
1960.6230, 317.22
1960.7077, 317.09
1960.7896, 316.84
1960.8743, 316.89
1960.9563, 316.96
1961.0411, 316.84
1961.1260, 317.05
1961.2027, 317.25
1961.2877, 317.16
1961.3699, 317.74
1961.4548, 317.62
1961.5370, 317.89
1961.6219, 318.09
1961.7068, 317.91
1961.7890, 318.33
1961.8740, 318.00
1961.9562, 317.78
1962.0411, 317.88
1962.1260, 317.89
1962.2027, 318.39
1962.2877, 318.24
1962.3699, 318.17
1962.4548, 318.46
1962.5370, 318.94
1962.6219, 318.70
1962.7068, 319.18
1962.7890, 318.45
1962.8740, 318.60
1962.9562, 318.48
1963.0411, 318.68
1963.1260, 318.41
1963.2027, 318.56
1963.2877, 319.05
1963.3699, 319.39
1963.4548, 319.31
1963.5370, 319.07
1963.6219, 319.07
1963.7068, 319.15
1963.7890, 319.03
1963.8740, 318.98
1963.9562, 319.13
1964.0410, 319.51
1964.1257, -99.99
1964.2049, -99.99
1964.2896, -99.99
1964.3716, 319.38
1964.4563, 319.74
1964.5383, 319.79
1964.6230, 320.03
1964.7077, 319.67
1964.7896, 319.92
1964.8743, 319.59
1964.9563, 319.49
1965.0411, 319.38
1965.1260, 319.78
1965.2027, 319.58
1965.2877, 319.79
1965.3699, 319.29
1965.4548, 319.69
1965.5370, 320.53
1965.6219, 320.18
1965.7068, 320.78
1965.7890, 320.37
1965.8740, 320.79
